gaia_mag,detected,distance_px,source
8.588125228881836,True,0.64,rdls
9.164189338684082,False,,rdls
9.140763282775879,False,,rdls
7.419086456298828,True,1.35,rdls
6.77386474609375,True,0.60,rdls
6.035377025604248,True,1.14,rdls
7.438666820526123,False,,rdls
9.315873146057129,False,,rdls
4.273470401763916,True,0.54,rdls
6.248250484466553,True,1.30,rdls
7.3572211265563965,True,0.72,rdls
8.422669410705566,True,0.73,rdls
7.881389617919922,True,0.63,rdls
9.335081100463867,True,1.22,rdls
8.947855949401855,False,,rdls
9.32164478302002,True,0.75,rdls
8.463109016418457,True,0.70,rdls
7.986505508422852,False,,rdls
8.570226669311523,False,,rdls
14.842663764953613,False,,rdls
8.647830963134766,True,0.91,rdls
5.22788143157959,True,0.86,rdls
7.264615058898926,False,,rdls
9.395801544189453,False,,rdls
8.475905418395996,True,0.97,rdls
7.489837646484375,True,0.38,rdls
5.707456111907959,False,,rdls
8.808319091796875,True,1.17,rdls
10.092581748962402,True,1.33,rdls
8.808319091796875,True,1.17,rdls
8.990239143371582,True,1.54,rdls
7.209077835083008,True,0.61,rdls
5.263336181640625,True,0.77,rdls
10.386846542358398,False,,rdls
10.596471786499023,False,,rdls
7.209077835083008,True,0.61,rdls
5.263336181640625,True,0.77,rdls
18.20599365234375,True,0.82,rdls
8.64163589477539,False,,rdls
4.137869358062744,True,1.19,rdls
8.520438194274902,False,,rdls
10.065876007080078,False,,rdls
11.122291564941406,False,,rdls
20.054901123046875,True,0.76,rdls
15.563800811767578,False,,rdls
7.7901129722595215,True,0.81,rdls
6.656163215637207,True,0.72,rdls
9.335081100463867,False,,rdls
7.482027530670166,True,1.13,rdls
7.344399452209473,False,,rdls
6.7113237380981445,True,0.70,rdls
6.676937103271484,True,0.98,rdls
7.654512405395508,True,1.09,rdls
6.68900728225708,True,0.88,rdls
9.615375518798828,True,1.23,rdls
11.296598434448242,True,1.02,rdls
9.615375518798828,True,0.67,rdls
11.143115043640137,True,0.95,rdls
11.286262512207031,True,2.36,rdls
9.44113540649414,True,0.70,rdls
9.393208503723145,True,1.23,rdls
11.702227592468262,False,,rdls
11.81624984741211,False,,rdls
9.554085731506348,True,0.90,rdls
8.662842750549316,True,1.50,rdls
9.393208503723145,True,1.23,rdls
9.44113540649414,True,0.70,rdls
8.662842750549316,True,1.50,rdls
10.976205825805664,False,,rdls
8.36774730682373,True,0.96,rdls
6.7113237380981445,True,0.74,rdls
8.301392555236816,False,,rdls
7.118977069854736,False,,rdls
8.588125228881836,True,0.71,rdls
8.825630187988281,True,0.69,rdls
9.335081100463867,True,1.22,rdls
8.715091705322266,False,,rdls
11.119546890258789,False,,rdls
9.532946586608887,False,,rdls
9.224172592163086,False,,rdls
9.597103118896484,False,,rdls
11.23233413696289,True,1.62,rdls
9.463334083557129,True,0.81,rdls
11.471395492553711,False,,rdls
9.922704696655273,True,1.35,rdls
18.051998138427734,False,,rdls
11.393512725830078,True,0.88,rdls
11.387688636779785,True,0.69,rdls
10.889018058776855,True,0.92,rdls
11.573391914367676,True,0.79,rdls
16.534460067749023,True,0.78,rdls
10.05051040649414,False,,rdls
10.650723457336426,False,,rdls
9.746171951293945,False,,rdls
11.18736457824707,False,,rdls
8.126940727233887,True,1.09,rdls
12.303888320922852,False,,rdls
16.496517181396484,False,,rdls
11.080938339233398,False,,rdls
10.255638122558594,False,,rdls
11.702795028686523,False,,rdls
11.65246868133545,False,,rdls
13.655587196350098,False,,rdls
11.396418571472168,False,,rdls
9.583053588867188,False,,rdls
10.638020515441895,False,,rdls
10.382170677185059,False,,rdls
10.656095504760742,False,,rdls
8.126940727233887,True,1.09,rdls
5.122554779052734,True,0.49,rdls
7.0909247398376465,True,1.05,rdls
5.122554779052734,True,0.49,rdls
7.0909247398376465,True,1.05,rdls
7.503419399261475,True,1.61,rdls
7.738511085510254,True,2.00,rdls
6.622763156890869,True,1.90,rdls
8.213628768920898,False,,rdls
6.360001087188721,True,0.71,rdls
9.234307289123535,False,,rdls
11.23233413696289,False,,rdls
9.463334083557129,True,1.16,rdls
8.15174388885498,True,1.19,rdls
